Shortage,pworst chi2,pworst mchi2,pworst burg,pworst kl,Supply,Population,Infrastructure,Model
448120,,0.022215,0.014152,0.020504,Low,High,WWTP,csiro.mk3.6.0.1.rcp26
303690,,0,0.0020198,0.00040272,High,Low,WWTP,csiro.mk3.6.0.1.rcp26
311110,,0,0.0021367,0.00051754,Low,Low,WWTP,csiro.mk3.6.0.1.rcp26
419260,,0.015209,0.0099248,0.015517,High,High,WWTP,csiro.mk3.6.0.1.rcp45
439150,,0.026475,0.0191,0.024291,Low,High,WWTP,csiro.mk3.6.0.1.rcp45
258520,,0,0.0020665,0.00044673,High,Low,WWTP,csiro.mk3.6.0.1.rcp45
284770,,0,0.0021863,0.00057102,Low,Low,WWTP,csiro.mk3.6.0.1.rcp45
412520,,0.00796,0.0075813,0.01163,High,High,WWTP,csiro.mk3.6.0.1.rcp60
465170,,0.019107,0.011903,0.01812,Low,High,WWTP,csiro.mk3.6.0.1.rcp60
246160,,0,0.002001,0.00038577,High,Low,WWTP,csiro.mk3.6.0.1.rcp60
263040,,0,0.0021131,0.00049315,Low,Low,WWTP,csiro.mk3.6.0.1.rcp60
393480,,0.017276,0.010884,0.016847,High,High,WWTP,hadgem2.es.1.rcp85
452390,,0.028418,0.022724,0.026244,Low,High,WWTP,hadgem2.es.1.rcp85
264970,,0,0.0020827,0.00046255,High,Low,WWTP,hadgem2.es.1.rcp85
269330,,0,0.0022047,0.00059162,Low,Low,WWTP,hadgem2.es.1.rcp85
398600,,0.016872,0.010682,0.016578,High,High,WWTP,hadgem2.es.1.rcp60
426480,,0.028412,0.02271,0.026238,Low,High,WWTP,hadgem2.es.1.rcp60
256790,,0,0.0020933,0.00047304,High,Low,WWTP,hadgem2.es.1.rcp60
265830,,0,0.0022123,0.0006002,Low,Low,WWTP,hadgem2.es.1.rcp60
421960,,0.014736,0.0097284,0.015228,High,High,WWTP,hadgem2.es.1.rcp45
438920,,0.026403,0.018988,0.024222,Low,High,WWTP,hadgem2.es.1.rcp45
256790,,0,0.0020679,0.0004481,High,Low,WWTP,hadgem2.es.1.rcp45
258710,,0,0.0021897,0.00057478,Low,Low,WWTP,hadgem2.es.1.rcp45
414020,,0.01453,0.0096452,0.015103,High,High,WWTP,hadgem2.es.1.rcp26
414580,,0.026032,0.018429,0.023867,Low,High,WWTP,hadgem2.es.1.rcp26
264270,,0,0.0020573,0.00043781,High,Low,WWTP,hadgem2.es.1.rcp26
273860,,0,0.0021747,0.00055828,Low,Low,WWTP,hadgem2.es.1.rcp26
437150,,0.023671,0.015527,0.021727,High,High,WWTP,miroc.esm.chem.1.rcp85
486840,,0.034693,0.058654,0.033685,Low,High,WWTP,miroc.esm.chem.1.rcp85
267710,,0,0.0021712,0.00055441,High,Low,WWTP,miroc.esm.chem.1.rcp85
296130,,0,0.0022984,0.00070208,Low,Low,WWTP,miroc.esm.chem.1.rcp85
413820,,0.020428,0.012765,0.019097,High,High,WWTP,miroc.esm.chem.1.rcp60
432470,,0.031785,0.033847,0.030005,Low,High,WWTP,miroc.esm.chem.1.rcp60
269360,,0,0.0021395,0.00052051,High,Low,WWTP,miroc.esm.chem.1.rcp60
276330,,0,0.0022665,0.00066335,Low,Low,WWTP,miroc.esm.chem.1.rcp60
422290,,0.016897,0.010694,0.016595,High,High,WWTP,miroc.esm.chem.1.rcp45
485830,,0.0276,0.021043,0.025404,Low,High,WWTP,miroc.esm.chem.1.rcp45
257140,,0,0.0020893,0.00046909,High,Low,WWTP,miroc.esm.chem.1.rcp45
267820,,0,0.0022108,0.00059847,Low,Low,WWTP,miroc.esm.chem.1.rcp45
411020,,0.013776,0.0093532,0.014657,High,High,WWTP,miroc.esm.chem.1.rcp26
408180,,0.025125,0.017194,0.023021,Low,High,WWTP,miroc.esm.chem.1.rcp26
248120,,0,0.0020417,0.00042306,High,Low,WWTP,miroc.esm.chem.1.rcp26
271850,,0,0.0021547,0.00053668,Low,Low,WWTP,miroc.esm.chem.1.rcp26
434430,,0.016247,0.010384,0.016171,High,High,WWTP,miroc5.1.rcp85
428950,,0.027779,0.021389,0.025585,Low,High,WWTP,miroc5.1.rcp85
266120,,0,0.0020796,0.00045947,High,Low,WWTP,miroc5.1.rcp85
261720,,0,0.0022028,0.00058939,Low,Low,WWTP,miroc5.1.rcp85
385250,,0.0070427,0.0073613,0.011213,High,High,WWTP,miroc5.1.rcp60
425210,,0.017935,0.01123,0.017294,Low,High,WWTP,miroc5.1.rcp60
249670,,0,0.0019718,0.00036018,High,Low,WWTP,miroc5.1.rcp60
242070,,0,0.0020823,0.00046212,Low,Low,WWTP,miroc5.1.rcp60
364480,,0.014151,0.0094961,0.014877,High,High,WWTP,miroc5.1.rcp45
477580,,0.024726,0.016703,0.022659,Low,High,WWTP,miroc5.1.rcp45
259270,,0,0.0020497,0.00043062,High,Low,WWTP,miroc5.1.rcp45
288420,,0,0.0021691,0.00055215,Low,Low,WWTP,miroc5.1.rcp45
356530,,0.0088369,0.0078042,0.012042,High,High,WWTP,miroc5.1.rcp26
430250,,0.019689,0.012268,0.018545,Low,High,WWTP,miroc5.1.rcp26
239260,,0,0.0019976,0.00038272,High,Low,WWTP,miroc5.1.rcp26
245680,,0,0.0021097,0.00048968,Low,Low,WWTP,miroc5.1.rcp26
436810,,0.016846,0.010789,0.016687,High,High,IPR,gfdl.cm3.1.rcp85
443190,,0.028221,0.022711,0.02613,Low,High,IPR,gfdl.cm3.1.rcp85
256710,,0,0.00205,0.00043747,High,Low,IPR,gfdl.cm3.1.rcp85
243180,,0,0.0021669,0.00055757,Low,Low,IPR,gfdl.cm3.1.rcp85
400950,,0.014627,0.0097869,0.01529,High,High,IPR,gfdl.cm3.1.rcp60
408000,,0.026023,0.018715,0.023961,Low,High,IPR,gfdl.cm3.1.rcp60
261180,,0,0.002032,0.00042041,High,Low,IPR,gfdl.cm3.1.rcp60
259590,,0,0.002146,0.00053494,Low,Low,IPR,gfdl.cm3.1.rcp60
452550,,0.02561,0.018116,0.023574,High,High,IPR,gfdl.cm3.1.rcp45
458710,,0.036858,0.14117,0.036729,Low,High,IPR,gfdl.cm3.1.rcp45
249030,,0,0.0021755,0.00056701,High,Low,IPR,gfdl.cm3.1.rcp45
259220,,0,0.002306,0.00072061,Low,Low,IPR,gfdl.cm3.1.rcp45
404340,,0.020921,0.013288,0.019595,High,High,IPR,gfdl.cm3.1.rcp26
399890,,0.032141,0.036682,0.030496,Low,High,IPR,gfdl.cm3.1.rcp26
242660,,0,0.0021199,0.0005074,High,Low,IPR,gfdl.cm3.1.rcp26
248580,,0,0.0022474,0.00064932,Low,Low,IPR,gfdl.cm3.1.rcp26
411840,,0.016485,0.010612,0.016451,High,High,IPR,gfdl.esm2m.1.rcp85
386710,,0.027658,0.021535,0.025557,Low,High,IPR,gfdl.esm2m.1.rcp85
237440,,0,0.0020823,0.00046912,High,Low,IPR,gfdl.esm2m.1.rcp85
237020,,0,0.0021989,0.00059319,Low,Low,IPR,gfdl.esm2m.1.rcp85
392130,,0.01416,0.0095992,0.015011,High,High,IPR,gfdl.esm2m.1.rcp26
414110,,0.026017,0.018707,0.023956,Low,High,IPR,gfdl.esm2m.1.rcp26
240540,,0,0.0020653,0.00045228,High,Low,IPR,gfdl.esm2m.1.rcp26
221280,,0,0.0021763,0.00056789,Low,Low,IPR,gfdl.esm2m.1.rcp26
412990,,0.014293,0.0096519,0.01509,High,High,IPR,gfdl.esm2m.1.rcp45
416580,,0.025722,0.018276,0.023679,Low,High,IPR,gfdl.esm2m.1.rcp45
260030,,0,0.0020542,0.00044156,High,Low,IPR,gfdl.esm2m.1.rcp45
237500,,0,0.0021676,0.00055837,Low,Low,IPR,gfdl.esm2m.1.rcp45
399860,,0.0099481,0.0081837,0.012714,High,High,IPR,gfdl.esm2m.1.rcp60
422730,,0.021297,0.013578,0.019888,Low,High,IPR,gfdl.esm2m.1.rcp60
246770,,0,0.0019944,0.00038595,High,Low,IPR,gfdl.esm2m.1.rcp60
248620,,0,0.0021053,0.00049234,Low,Low,IPR,gfdl.esm2m.1.rcp60
401800,,0.014449,0.0097144,0.015183,High,High,IPR,csiro.mk3.6.0.1.rcp85
415610,,0.025825,0.018423,0.023775,Low,High,IPR,csiro.mk3.6.0.1.rcp85
244330,,0,0.0020438,0.00043159,High,Low,IPR,csiro.mk3.6.0.1.rcp85
248110,,0,0.0021564,0.0005462,Low,Low,IPR,csiro.mk3.6.0.1.rcp85
416820,,0.011106,0.0085294,0.013308,High,High,IPR,csiro.mk3.6.0.1.rcp26
426600,,0.022369,0.01448,0.020747,Low,High,IPR,csiro.mk3.6.0.1.rcp26
236840,,0,0.0020069,0.00039726,High,Low,IPR,csiro.mk3.6.0.1.rcp26
257640,,0,0.0021211,0.00050869,Low,Low,IPR,csiro.mk3.6.0.1.rcp26
429300,,0.014985,0.0099357,0.015507,High,High,IPR,csiro.mk3.6.0.1.rcp45
454260,,0.026608,0.019636,0.02452,Low,High,IPR,csiro.mk3.6.0.1.rcp45
255680,,0,0.002045,0.0004327,High,Low,IPR,csiro.mk3.6.0.1.rcp45
247820,,0,0.0021594,0.00054941,Low,Low,IPR,csiro.mk3.6.0.1.rcp45
413570,,0.0082424,0.0077225,0.011887,High,High,IPR,csiro.mk3.6.0.1.rcp60
416560,,0.019777,0.012476,0.018731,Low,High,IPR,csiro.mk3.6.0.1.rcp60
252090,,0,0.0019813,0.00037434,High,Low,IPR,csiro.mk3.6.0.1.rcp60
247310,,0,0.0020917,0.00047847,Low,Low,IPR,csiro.mk3.6.0.1.rcp60
446510,,0.017441,0.011094,0.017083,High,High,IPR,hadgem2.es.1.rcp85
436350,,0.028548,0.023458,0.026469,Low,High,IPR,hadgem2.es.1.rcp85
234130,,0,0.0020608,0.0004479,High,Low,IPR,hadgem2.es.1.rcp85
246420,,0,0.0021766,0.00056821,Low,Low,IPR,hadgem2.es.1.rcp85
428360,,0.016752,0.010742,0.016626,High,High,IPR,hadgem2.es.1.rcp60
436320,,0.028084,0.022415,0.02599,Low,High,IPR,hadgem2.es.1.rcp60
244480,,0,0.0020671,0.00045413,High,Low,IPR,hadgem2.es.1.rcp60
249300,,0,0.002186,0.00057866,Low,Low,IPR,hadgem2.es.1.rcp60
422440,,0.015012,0.009947,0.015524,High,High,IPR,hadgem2.es.1.rcp45
403680,,0.026036,0.018736,0.023974,Low,High,IPR,hadgem2.es.1.rcp45
242000,,0,0.0020461,0.00043378,High,Low,IPR,hadgem2.es.1.rcp45
242750,,0,0.0021626,0.00055287,Low,Low,IPR,hadgem2.es.1.rcp45
427320,,0.014273,0.0096436,0.015078,High,High,IPR,hadgem2.es.1.rcp26
440650,,0.025803,0.018392,0.023755,Low,High,IPR,hadgem2.es.1.rcp26
248270,,0,0.0020335,0.00042187,High,Low,IPR,hadgem2.es.1.rcp26
255150,,0,0.0021501,0.00053931,Low,Low,IPR,hadgem2.es.1.rcp26
440910,,0.023876,0.01597,0.022016,High,High,IPR,miroc.esm.chem.1.rcp85
451110,,0.035274,0.072153,0.034506,Low,High,IPR,miroc.esm.chem.1.rcp85
270050,,0,0.002146,0.00053499,High,Low,IPR,miroc.esm.chem.1.rcp85
265170,,0,0.0022767,0.00068458,Low,Low,IPR,miroc.esm.chem.1.rcp85
411190,,0.020039,0.012653,0.018926,High,High,IPR,miroc.esm.chem.1.rcp60
415510,,0.031353,0.032647,0.029564,Low,High,IPR,miroc.esm.chem.1.rcp60
231170,,0,0.0021136,0.00050085,High,Low,IPR,miroc.esm.chem.1.rcp60
253060,,0,0.0022383,0.00063855,Low,Low,IPR,miroc.esm.chem.1.rcp60
433990,,0.016763,0.010748,0.016633,High,High,IPR,miroc.esm.chem.1.rcp45
424390,,0.028313,0.022916,0.026225,Low,High,IPR,miroc.esm.chem.1.rcp45
249200,,0,0.0020667,0.00045373,High,Low,IPR,miroc.esm.chem.1.rcp45
252210,,0,0.0021869,0.00057968,Low,Low,IPR,miroc.esm.chem.1.rcp45
391920,,0.013103,0.0091997,0.014398,High,High,IPR,miroc.esm.chem.1.rcp26
398940,,0.024413,0.016579,0.022488,Low,High,IPR,miroc.esm.chem.1.rcp26
231620,,0,0.0020179,0.0004073,High,Low,IPR,miroc.esm.chem.1.rcp26
230350,,0,0.0021324,0.00052053,Low,Low,IPR,miroc.esm.chem.1.rcp26
393150,,0.016095,0.010427,0.016201,High,High,IPR,miroc5.1.rcp85
403610,,0.02771,0.021639,0.025609,Low,High,IPR,miroc5.1.rcp85
242020,,0,0.0020562,0.00044346,High,Low,IPR,miroc5.1.rcp85
241160,,0,0.0021749,0.00056634,Low,Low,IPR,miroc5.1.rcp85
432550,,0.0072748,0.0074833,0.011443,High,High,IPR,miroc5.1.rcp60
435780,,0.018275,0.011551,0.017654,Low,High,IPR,miroc5.1.rcp60
242540,,0,0.0019548,0.00035149,High,Low,IPR,miroc5.1.rcp60
234310,,0,0.0020596,0.0004468,Low,Low,IPR,miroc5.1.rcp60
449710,,0.013843,0.0094757,0.014824,High,High,IPR,miroc5.1.rcp45
433890,,0.024644,0.016854,0.022693,Low,High,IPR,miroc5.1.rcp45
232240,,0,0.0020291,0.00041774,High,Low,IPR,miroc5.1.rcp45
225000,,0,0.0021433,0.00053207,Low,Low,IPR,miroc5.1.rcp45
420550,,0.0084738,0.007782,0.011996,High,High,IPR,miroc5.1.rcp26
426320,,0.019689,0.012418,0.018667,Low,High,IPR,miroc5.1.rcp26
230900,,0,0.0019827,0.00037561,High,Low,IPR,miroc5.1.rcp26
245250,,0,0.0020833,0.0004701,Low,Low,IPR,miroc5.1.rcp26
424240,,0.017041,0.010889,0.016863,High,High,RO,gfdl.cm3.1.rcp85
401410,,0.028285,0.022527,0.026167,Low,High,RO,gfdl.cm3.1.rcp85
265110,,0,0.0020635,0.00044397,High,Low,RO,gfdl.cm3.1.rcp85
265140,,0,0.00218,0.00056425,Low,Low,RO,gfdl.cm3.1.rcp85
388000,,0.014573,0.0097798,0.015313,High,High,RO,gfdl.cm3.1.rcp60
398250,,0.025758,0.018164,0.023707,Low,High,RO,gfdl.cm3.1.rcp60
255340,,0,0.0020472,0.00042837,High,Low,RO,gfdl.cm3.1.rcp60
259170,,0,0.0021605,0.00054304,Low,Low,RO,gfdl.cm3.1.rcp60
404020,,0.025952,0.018438,0.023887,High,High,RO,gfdl.cm3.1.rcp45
429110,,0.037234,0.15085,0.037121,Low,High,RO,gfdl.cm3.1.rcp45
267780,,0,0.0022011,0.00058777,High,Low,RO,gfdl.cm3.1.rcp45
267850,,0,0.0023344,0.00074734,Low,Low,RO,gfdl.cm3.1.rcp45
391110,,0.0217,0.013854,0.02023,High,High,RO,gfdl.cm3.1.rcp26
432690,,0.032648,0.03849,0.031031,Low,High,RO,gfdl.cm3.1.rcp26
263740,,0,0.0021419,0.00052326,High,Low,RO,gfdl.cm3.1.rcp26
262810,,0,0.002268,0.00066542,Low,Low,RO,gfdl.cm3.1.rcp26
437950,,0.016561,0.010654,0.01655,High,High,RO,gfdl.esm2m.1.rcp85
451480,,0.027907,0.021745,0.025783,Low,High,RO,gfdl.esm2m.1.rcp85
257770,,0,0.0020979,0.0004779,High,Low,RO,gfdl.esm2m.1.rcp85
255290,,0,0.0022203,0.00060949,Low,Low,RO,gfdl.esm2m.1.rcp85
418550,,0.014248,0.0096502,0.01512,High,High,RO,gfdl.esm2m.1.rcp26
459330,,0.025493,0.017802,0.023462,Low,High,RO,gfdl.esm2m.1.rcp26
249880,,0,0.002077,0.00045714,High,Low,RO,gfdl.esm2m.1.rcp26
248890,,0,0.002194,0.00057976,Low,Low,RO,gfdl.esm2m.1.rcp26
442430,,0.013858,0.0094993,0.014891,High,High,RO,gfdl.esm2m.1.rcp45
481540,,0.024675,0.016772,0.022724,Low,High,RO,gfdl.esm2m.1.rcp45
266220,,0,0.0020681,0.0004484,High,Low,RO,gfdl.esm2m.1.rcp45
266330,,0,0.0021848,0.00056957,Low,Low,RO,gfdl.esm2m.1.rcp45
413860,,0.009599,0.0081141,0.012608,High,High,RO,gfdl.esm2m.1.rcp60
442160,,0.020869,0.013212,0.019584,Low,High,RO,gfdl.esm2m.1.rcp60
244220,,0,0.0020111,0.00039499,High,Low,RO,gfdl.esm2m.1.rcp60
