Shortage,pworst chi2,pworst mchi2,pworst burg,pworst kl,Supply,Population,Infrastructure,Model
297960,,0.015813,0.0087901,0.01437,High,High,WWTP,miroc5.1.rcp85
290090,,0.027333,0.018583,0.026345,Low,High,WWTP,miroc5.1.rcp85
155210,,0,0.0023123,0.00057292,High,Low,WWTP,miroc5.1.rcp85
171330,,0,0.0025004,0.000796,Low,Low,WWTP,miroc5.1.rcp85
233660,,0.0071972,0.006305,0.0091321,High,High,WWTP,miroc5.1.rcp60
226270,,0.018692,0.010123,0.01672,Low,High,WWTP,miroc5.1.rcp60
136470,,0,0.0021612,0.00042201,High,Low,WWTP,miroc5.1.rcp60
194740,,0,0.0023002,0.00055985,Low,Low,WWTP,miroc5.1.rcp60
231940,,0.014134,0.008163,0.013155,High,High,WWTP,miroc5.1.rcp45
243060,,0.025459,0.015733,0.023872,Low,High,WWTP,miroc5.1.rcp45
152730,,0,0.0022737,0.00053184,High,Low,WWTP,miroc5.1.rcp45
165030,,0,0.0024559,0.0007397,Low,Low,WWTP,miroc5.1.rcp45
273020,,0.0081112,0.0065,0.009582,High,High,WWTP,miroc5.1.rcp26
282340,,0.019602,0.010633,0.01754,Low,High,WWTP,miroc5.1.rcp26
135850,,0,0.0021986,0.0004569,High,Low,WWTP,miroc5.1.rcp26
202260,,0,0.0023399,0.00060317,Low,Low,WWTP,miroc5.1.rcp26
294440,,0.016572,0.0092695,0.015131,High,High,IPR,gfdl.cm3.1.rcp85
293850,,0.028134,0.020684,0.027348,Low,High,IPR,gfdl.cm3.1.rcp85
148250,,0,0.0022623,0.00054594,High,Low,IPR,gfdl.cm3.1.rcp85
165090,,0,0.0024432,0.00075591,Low,Low,IPR,gfdl.cm3.1.rcp85
261640,,0.014626,0.0084814,0.013696,High,High,IPR,gfdl.cm3.1.rcp60
231760,,0.02586,0.016651,0.024342,Low,High,IPR,gfdl.cm3.1.rcp60
137500,,0,0.0022358,0.00051815,High,Low,IPR,gfdl.cm3.1.rcp60
137630,,0,0.0024142,0.00071982,Low,Low,IPR,gfdl.cm3.1.rcp60
257290,,0.025122,0.01566,0.023439,High,High,IPR,gfdl.cm3.1.rcp45
259380,,0.03653,0.19546,0.042031,Low,High,IPR,gfdl.cm3.1.rcp45
168680,,0,0.0024432,0.00075581,High,Low,IPR,gfdl.cm3.1.rcp45
164150,,0,0.0026522,0.0010416,Low,Low,IPR,gfdl.cm3.1.rcp45
259800,,0.020861,0.011655,0.018846,High,High,IPR,gfdl.cm3.1.rcp26
271260,,0.032259,0.036889,0.033777,Low,High,IPR,gfdl.cm3.1.rcp26
165110,,0,0.002367,0.00066302,High,Low,IPR,gfdl.cm3.1.rcp26
146230,,0,0.0025684,0.00092167,Low,Low,IPR,gfdl.cm3.1.rcp26
244620,,0.016573,0.0092699,0.015132,High,High,IPR,gfdl.esm2m.1.rcp85
245890,,0.028181,0.020787,0.027413,Low,High,IPR,gfdl.esm2m.1.rcp85
159020,,0,0.0023119,0.00059987,High,Low,IPR,gfdl.esm2m.1.rcp85
133890,,0,0.0025018,0.00083144,Low,Low,IPR,gfdl.esm2m.1.rcp85
234110,,0.014807,0.0085493,0.013824,High,High,IPR,gfdl.esm2m.1.rcp26
210400,,0.026201,0.017153,0.024771,Low,High,IPR,gfdl.esm2m.1.rcp26
133540,,0,0.0022893,0.00057493,High,Low,IPR,gfdl.esm2m.1.rcp26
139820,,0,0.0024787,0.00080119,Low,Low,IPR,gfdl.esm2m.1.rcp26
241280,,0.014491,0.0084318,0.013602,High,High,IPR,gfdl.esm2m.1.rcp45
231770,,0.026033,0.016901,0.024558,Low,High,IPR,gfdl.esm2m.1.rcp45
155420,,0,0.0022725,0.00055682,High,Low,IPR,gfdl.esm2m.1.rcp45
150680,,0,0.0024597,0.00077676,Low,Low,IPR,gfdl.esm2m.1.rcp45
258330,,0.010029,0.0070634,0.010824,High,High,IPR,gfdl.esm2m.1.rcp60
247220,,0.021901,0.012431,0.019876,Low,High,IPR,gfdl.esm2m.1.rcp60
150590,,0,0.0021916,0.0004738,High,Low,IPR,gfdl.esm2m.1.rcp60
139330,,0,0.002352,0.00064548,Low,Low,IPR,gfdl.esm2m.1.rcp60
254270,,0.014482,0.0084287,0.013596,High,High,IPR,csiro.mk3.6.0.1.rcp85
272960,,0.025566,0.016241,0.023978,Low,High,IPR,csiro.mk3.6.0.1.rcp85
153910,,0,0.0022561,0.0005394,High,Low,IPR,csiro.mk3.6.0.1.rcp85
151570,,0,0.0024333,0.00074339,Low,Low,IPR,csiro.mk3.6.0.1.rcp85
248580,,0.011234,0.0073871,0.011513,High,High,IPR,csiro.mk3.6.0.1.rcp26
229580,,0.022652,0.013059,0.020655,Low,High,IPR,csiro.mk3.6.0.1.rcp26
144150,,0,0.0022048,0.00048681,High,Low,IPR,csiro.mk3.6.0.1.rcp26
